noun	suffix	v_trans	v_dyn	v_dur	v_tel	v_post_phase	v_rol_subj	v_rol_obj	v_rol_obq	n_onto	n_relation	n_dyn	n_dur	n_tel	n_post_phase	n_rol_arg1	n_rol_arg2	n_rol_arg3
stéréotypisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
stéréotypisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
subalternisation	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
subodoration	ion	y	y	y	n	n	cau	tpc	na	cog*evt	tsp	y	y	n	n	tpc	cau	na
tchernobylisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
tchernobylisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
triangularisation	ion	y	y	n	y	y	cau	pat	na	evt*sta	tsp	y	n	y	y	pat	cau	na
turquification1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
turquification2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
verdurisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
verdurisation2	ion	y	y	y	v	y	cau	pat	na	nat	res	na	na	na	na	na	na	na
verdurisation3	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
voyellisation1	ion	y	y	y	y	n	cau	pat	na	cog*evt	tsp	y	y	y	n	pat	agt	na
voyellisation2	ion	y	y	y	y	n	cau	pat	na	ppt	res	n	na	na	na	na	na	na
voyellisation3	ion	y	y	y	y	n	cau	pat	na	art	ins	na	na	na	na	na	na	na
walmartisation1	ion	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
walmartisation2	ion	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
absorbement1	ment	y	y	y	y	y	cau	thm	na	evt*sta	tsp	y	y	y	y	pat	cau	na
absorbement2	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
acculement	ment	y	y	n	y	y	cau	thm	des	evt*sta	tsp	y	n	y	y	thm	des	cau
aiguillement1	ment	y	y	n	y	n	agt	thm	des	evt	tsp	y	n	y	n	thm	des	agt
aiguillement2	ment	y	y	n	y	n	agt	thm	tpc	cog*evt	tsp	y	n	y	n	thm	tpc	agt
ajoutement1	ment	y	y	n	y	y	cau	thm	des	evt	tsp	y	n	y	n	thm	des	cau
ajoutement2	ment	y	y	n	y	y	cau	thm	des	art	thm	na	na	na	na	na	na	na
alarmement	ment	n	y	y	n	n	exp	na	sti	sta	res	n	y	n	n	exp	na	na
alternement1	ment	n	y	y	n	n	thm	na	thm	evt	tsp	y	y	n	n	thm	thm	na
alternement2	ment	n	y	y	n	n	thm	na	thm	nat	res	na	na	na	na	na	na	na
alternement3	ment	n	y	y	n	n	thm	na	thm	art	res	na	na	na	na	na	na	na
amputement	ment	y	y	y	y	n	cau	pat	na	evt	tsp	y	y	y	n	pat	cau	na
annoncement	ment	y	y	y	y	n	agt	tpc	ben	cog*evt	tsp	y	y	y	n	tpc	ben	agt
annulement1	ment	y	y	n	y	n	cau	pat	na	evt	tsp	y	n	y	n	pat	cau	na
annulement2	ment	y	y	n	y	n	cau	pat	na	art*cog	ins	na	na	na	na	na	na	na
approuvement1	ment	y	y	n	y	n	agt	tpc	na	evt	tsp	y	n	y	n	tpc	agt	na
approuvement2	ment	y	y	y	n	n	agt	ben	tpc	sta	res	n	y	n	n	na	na	na
atténuement1	ment	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
atténuement2	ment	n	y	y	v	y	pat	na	na	evt*sta	tsp	y	y	v	y	pat	na	na
atterrement	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
attristement	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
bedonnement1	ment	n	n	y	n	n	pvt	na	na	ppt	tsp	n	na	na	na	pvt	na	na
bedonnement2	ment	n	n	y	n	n	pvt	na	na	nat	res	na	na	na	na	na	na	na
bloquement1	ment	y	y	y	n	n	cau	thm	na	evt	tsp	y	y	n	n	thm	cau	na
bloquement2	ment	y	y	y	n	n	sti	exp	na	sta	res	n	y	n	n	exp	na	na
bloquement3	ment	n	y	n	y	y	pat	na	na	evt*sta	tsp	y	n	y	y	pat	na	na
bridement1	ment	y	y	y	v	y	cau	pat	na	evt*sta	tsp	y	y	v	y	pat	cau	na
bridement2	ment	n	y	n	y	y	pat	na	na	sta	res	n	y	n	n	na	na	na
bridement3	ment	n	y	n	y	y	pat	na	na	ppt	res	n	na	na	na	na	na	na
